   7.000   0.5889
   3.000   0.6869
  12.000   0.1397
   1.000   0.1921
   4.000   0.2798
   2.000   0.2607
   6.000   0.9467
   6.000   0.6375
   8.000   0.1527
   3.000   0.8237
   1.000   0.5979
   1.000   0.2914
   3.000   0.5053
   5.000   0.4714
   2.000   0.6041
   8.000   0.8812
   4.000   0.8416
   1.000   0.0577
   2.000   0.9034
   2.000   0.4348
   7.000   0.9878
  11.000   0.1486
  14.000   0.5003
   1.000   0.8507
  10.000   0.8187
  14.000   0.0291
   1.000   0.3785
   4.000   0.8384
   2.000   0.8351
   2.000   0.9674
   1.000   0.6943
   1.000   0.2591
   2.000   0.7397
   2.000   0.4663
  14.000   0.9115
   5.000   0.1750
   1.000   0.5628
   8.000   0.2681
   5.000   0.6967
   2.000   0.7020
   4.000   0.7971
   3.000   0.4047
   5.000   0.0498
  10.000   0.0364
   9.000   0.4080
   1.000   0.6226
  11.000   0.3002
   3.000   0.8111
  21.000   0.4894
   1.000   0.0375
   4.000   0.2560
   9.000   0.2168
   8.000   0.7437
   1.000   0.9082
   3.000   0.9496
   9.000   0.1040
   9.000   0.8691
  16.000   0.9502
   6.000   0.0790
   1.000   0.5658
