    3.549   1.000   1.000   1.000   1.000
    3.104   1.000   1.000   1.000   2.000
   13.160   1.000   1.000   1.000   3.000
    5.293   1.000   1.000   2.000   1.000
    9.314   1.000   1.000   2.000   2.000
    8.055   1.000   1.000   2.000   3.000
    6.969   1.000   1.000   3.000   1.000
   11.427   1.000   1.000   3.000   2.000
   16.950   1.000   1.000   3.000   3.000
    9.687   1.000   1.000   4.000   1.000
   15.570   1.000   1.000   4.000   2.000
   16.099   1.000   1.000   4.000   3.000
    4.256   1.000   2.000   1.000   1.000
    5.968   1.000   2.000   1.000   2.000
    8.377   1.000   2.000   1.000   3.000
    7.351   1.000   2.000   2.000   1.000
   11.737   1.000   2.000   2.000   2.000
   15.989   1.000   2.000   2.000   3.000
    9.611   1.000   2.000   3.000   1.000
   15.644   1.000   2.000   3.000   2.000
   17.585   1.000   2.000   3.000   3.000
   11.730   1.000   2.000   4.000   1.000
   13.167   1.000   2.000   4.000   2.000
   17.183   1.000   2.000   4.000   3.000
    4.939   2.000   1.000   1.000   1.000
    6.178   2.000   1.000   1.000   2.000
   15.138   2.000   1.000   1.000   3.000
    4.938   2.000   1.000   2.000   1.000
   11.518   2.000   1.000   2.000   2.000
   15.981   2.000   1.000   2.000   3.000
    7.019   2.000   1.000   3.000   1.000
    9.083   2.000   1.000   3.000   2.000
   19.092   2.000   1.000   3.000   3.000
   10.497   2.000   1.000   4.000   1.000
   11.210   2.000   1.000   4.000   2.000
   10.569   2.000   1.000   4.000   3.000
    4.186   2.000   2.000   1.000   1.000
    3.975   2.000   2.000   1.000   2.000
   14.047   2.000   2.000   1.000   3.000
    7.583   2.000   2.000   2.000   1.000
    5.045   2.000   2.000   2.000   2.000
   14.509   2.000   2.000   2.000   3.000
    7.524   2.000   2.000   3.000   1.000
   12.551   2.000   2.000   3.000   2.000
   18.607   2.000   2.000   3.000   3.000
   11.982   2.000   2.000   4.000   1.000
   15.295   2.000   2.000   4.000   2.000
   21.042   2.000   2.000   4.000   3.000
    5.203   3.000   1.000   1.000   1.000
    5.000   3.000   1.000   1.000   2.000
   10.080   3.000   1.000   1.000   3.000
    6.032   3.000   1.000   2.000   1.000
    8.181   3.000   1.000   2.000   2.000
   23.218   3.000   1.000   2.000   3.000
    7.967   3.000   1.000   3.000   1.000
   10.961   3.000   1.000   3.000   2.000
   16.715   3.000   1.000   3.000   3.000
   10.337   3.000   1.000   4.000   1.000
   11.133   3.000   1.000   4.000   2.000
   15.187   3.000   1.000   4.000   3.000
    4.611   3.000   2.000   1.000   1.000
    5.631   3.000   2.000   1.000   2.000
   16.145   3.000   2.000   1.000   3.000
    7.504   3.000   2.000   2.000   1.000
   11.045   3.000   2.000   2.000   2.000
   19.047   3.000   2.000   2.000   3.000
   11.346   3.000   2.000   3.000   1.000
   11.062   3.000   2.000   3.000   2.000
   15.610   3.000   2.000   3.000   3.000
   11.342   3.000   2.000   4.000   1.000
    9.088   3.000   2.000   4.000   2.000
   21.839   3.000   2.000   4.000   3.000
    4.580   4.000   1.000   1.000   1.000
    1.900   4.000   1.000   1.000   2.000
    8.390   4.000   1.000   1.000   3.000
    6.174   4.000   1.000   2.000   1.000
    9.509   4.000   1.000   2.000   2.000
    8.702   4.000   1.000   2.000   3.000
    7.272   4.000   1.000   3.000   1.000
   10.213   4.000   1.000   3.000   2.000
   18.526   4.000   1.000   3.000   3.000
   11.224   4.000   1.000   4.000   1.000
   13.235   4.000   1.000   4.000   2.000
   20.128   4.000   1.000   4.000   3.000
    6.452   4.000   2.000   1.000   1.000
    8.760   4.000   2.000   1.000   2.000
   13.189   4.000   2.000   1.000   3.000
    8.881   4.000   2.000   2.000   1.000
    7.933   4.000   2.000   2.000   2.000
   15.696   4.000   2.000   2.000   3.000
    8.189   4.000   2.000   3.000   1.000
    7.186   4.000   2.000   3.000   2.000
   18.550   4.000   2.000   3.000   3.000
   11.126   4.000   2.000   4.000   1.000
   11.069   4.000   2.000   4.000   2.000
   20.111   4.000   2.000   4.000   3.000
