   6.000   1.000   1.000   1.000   3.589   10.910   1.000   0.000
   5.000   1.000   2.000   1.000   3.687    8.106   0.000  -1.000
   8.000   1.000   1.000   2.000   3.140    9.691   0.000  -1.000
   9.000   1.000   2.000   2.000   3.192   10.988   0.000   0.000
   9.000   1.000   1.000   3.000   3.280   10.975   0.000   0.000
   9.000   1.000   2.000   3.000   3.261   11.844   0.000   0.000
   8.000   2.000   1.000   1.000   3.947   10.508   0.000   0.000
   7.000   2.000   2.000   1.000   3.638    9.354   0.000  -1.000
  10.000   2.000   1.000   2.000   3.153   10.643   0.000   0.000
  10.000   2.000   2.000   2.000   3.824    9.916   0.000   0.000
   9.000   2.000   1.000   3.000   3.598   11.351  -1.000   0.000
  11.000   2.000   2.000   3.000   3.291    9.066   0.000   1.000
   4.000   3.000   1.000   1.000   3.505   10.158   0.000   0.000
   4.000   3.000   2.000   1.000   3.471    9.382   0.000   0.000
   6.000   3.000   1.000   2.000   3.604   10.515   0.000   0.000
   5.000   3.000   2.000   2.000   3.881   10.530  -1.000   0.000
   6.000   3.000   1.000   3.000   3.842   10.831   0.000   0.000
   8.000   3.000   2.000   3.000   3.058    9.759   0.000   1.000
   8.000   4.000   1.000   1.000   3.903    8.353   0.000   0.000
   9.000   4.000   2.000   1.000   3.435    8.206   1.000   0.000
  11.000   4.000   1.000   2.000   3.988    9.767   0.000   0.000
  12.000   4.000   2.000   2.000   3.149   10.312   0.000   1.000
  11.000   4.000   1.000   3.000   3.500    9.476   0.000   0.000
  11.000   4.000   2.000   3.000   3.851   10.882   0.000   0.000
