   119.31    1.000   0.3247     101.54   14.000   0.0998
   119.84    2.000   0.6872      94.77   26.000   0.1986
   115.41    3.000  -0.7815     100.21   16.000   0.2955
   109.57    4.000  -0.4700      95.58   11.000   0.3894
   101.51    5.000  -0.0832     101.75    0.000   0.4794
   114.50    6.000  -0.0411      89.33   19.000   0.5646
   135.40    7.000   2.3139      93.79   40.000   0.6442
    91.96    8.000   1.1519      88.91    6.000   0.7173
   105.29    9.000  -0.1245      93.58   10.000   0.7833
   105.30   10.000   1.9298      92.65   12.000   0.8414
   112.78   11.000   1.3479      93.16   17.000   0.8912
   110.95   12.000   0.6507      86.79   28.000   0.9320
    96.95   13.000   1.3134      78.77   19.000   0.9635
    79.87   14.000   1.3283      77.03    0.000   0.9854
   112.47   15.000   1.7641      83.84   25.000   0.9974
   110.40   16.000   2.7812      85.56   22.000   0.9995
    87.25   17.000   2.7013      80.38    0.000   0.9916
   104.88   18.000   0.2261      86.41   19.000   0.9738
    92.78   19.000   3.2017      80.87   10.000   0.9463
   105.33   20.000   1.8359      71.10   34.000   0.9093
    95.72   21.000   4.3533      75.72   19.000   0.8632
   107.10   22.000   1.1576      74.08   30.000   0.8085
    93.47   23.000   2.3008      80.27    8.000   0.7457
   121.67   24.000   3.4394      82.65   34.000   0.6754
   129.05   25.000   3.4104      83.21   40.000   0.5984
    89.43   26.000   0.7065      67.71   16.000   0.5155
   110.96   27.000   2.3907      78.61   29.000   0.4273
   103.55   28.000   3.7882      80.24   17.000   0.3349
    88.03   29.000   3.8746      63.94   21.000   0.2392
    78.15   30.000   4.8438      70.83    4.000   0.1411
