   5.2247      1.   1.   1.
   5.4872      2.   1.   1.
   3.9185      3.   1.   1.
   4.1300      4.   1.   1.
   4.4167      5.   1.   1.
   4.3588      6.   1.   2.
   6.6139      7.   1.   2.
   5.3519      8.   1.   2.
   3.9754      9.   1.   2.
   5.9298     10.   1.   2.
   5.2479     11.   2.   3.
   4.4507     12.   2.   3.
   5.0134     13.   2.   3.
   4.9283     14.   2.   3.
   5.2641     15.   2.   3.
   6.1812     16.   2.   4.
   6.0013     17.   2.   4.
   3.4261     18.   2.   4.
   6.3017     19.   2.   4.
   4.8359     20.   2.   4.
   7.2533     21.   3.   5.
   3.9576     22.   3.   5.
   5.0008     23.   3.   5.
   6.0394     24.   3.   5.
   5.9104     25.   3.   5.
   3.1065     26.   3.   6.
   4.6907     27.   3.   6.
   5.9882     28.   3.   6.
   5.9746     29.   3.   6.
   6.8438     30.   3.   6.
