   436.0   1.000   220.33   1.000
   387.5   1.000   148.72   2.000
   197.4   1.000   155.97   3.000
   195.6   1.000   123.68   4.000
   193.4   1.000   127.78   5.000
   297.4   1.000   162.62   6.000
   350.9   2.000   113.06   1.000
   239.6   2.000    93.82   2.000
   159.0   2.000    95.17   3.000
   212.6   2.000    87.02   4.000
   306.0   2.000   137.99   5.000
   215.7   2.000   108.13   6.000
   182.3   3.000    67.18   1.000
   164.7   3.000    62.28   2.000
   160.1   3.000    65.63   3.000
   280.6   3.000    93.49   4.000
   240.1   3.000    79.70   5.000
   129.8   3.000    82.14   6.000
   169.4   4.000    58.73   1.000
   130.4   4.000    50.06   2.000
   256.3   4.000    68.08   3.000
   137.7   4.000    63.19   4.000
   153.9   4.000    65.06   5.000
   164.1   4.000    63.43   6.000
   130.2   5.000    51.34   1.000
   109.0   5.000    54.47   2.000
   136.5   5.000    59.02   3.000
   150.9   5.000    57.19   4.000
   140.2   5.000    46.47   5.000
   143.2   5.000    47.99   6.000
