  0.7458    66.23   21.00
  0.7458    68.62   19.50
  0.7386    70.22   18.90
  1.1875    83.79   21.60
  1.3613    85.38   24.30
  1.4265    86.18   24.90
  1.1296    87.78   19.80
  1.3179    87.78   22.50
  1.6365    88.57   24.00
  1.4410    89.37   22.50
  1.7524    90.17   23.70
  1.5206    90.97   22.80
  1.5496    90.97   22.80
  1.5424    93.36   20.70
  1.3831    95.76   22.50
  1.6075   102.94   22.20
  2.4475   102.94   25.50
  1.9841   106.13   25.80
  1.8610   109.32   21.30
  1.8030   110.12   19.20
  2.4982   111.71   23.40
  2.2954   113.31   24.00
  2.6285   115.70   22.20
  2.7734   127.67   21.60
  3.0847   130.07   23.10
  4.0116   138.05   24.30
  4.0333   139.64   24.60
  4.2216   142.84   24.00
  3.7292   143.63   24.00
  3.6930   143.63   24.00
  5.5757   164.38   26.10
