    0.3333   6.671
    0.6667   6.071
    1.0000   5.450
    1.3333   5.025
    1.6667   4.442
    2.0000   4.660
    2.3333   4.955
    2.6667   4.167
    3.0000   4.121
    3.3333   4.053
    3.6667   4.031
    4.0000   4.106
    4.3333   3.929
    4.6667   3.342
    5.0000   3.896
    5.3333   3.818
    5.6667   3.344
    6.0000   3.703
    6.3333   3.557
    6.6667   3.860
    7.0000   3.617
    7.3333   3.730
    7.6667   3.413
    8.0000   3.755
    8.3333   3.937
    8.6667   3.464
    9.0000   3.619
    9.3333   3.450
    9.6667   3.484
   10.0000   3.206
