   0.1000    2.315
   0.2000    2.763
   0.3000    4.187
   0.4000    5.140
   0.5000    5.807
   0.6000    4.143
   0.7000    6.531
   0.8000    7.241
   0.9000    4.947
   1.0000    6.620
   1.1000    6.185
   1.2000    7.437
   1.3000    6.826
   1.4000    6.615
   1.5000    5.957
   1.6000    7.728
   1.7000   10.146
   1.8000    6.845
   1.9000    7.316
   2.0000    7.614
   2.1000    8.174
   2.2000    9.543
   2.3000    8.658
   2.4000    6.886
   2.5000    9.486
   2.6000    9.263
   2.7000    7.145
   2.8000    9.046
   2.9000    8.197
   3.0000   11.051
   3.1000    9.253
   3.2000   10.592
   3.3000    8.141
   3.4000   11.233
   3.5000   12.079
   3.6000    9.063
   3.7000   10.724
   3.8000    9.297
   3.9000    9.795
   4.0000    7.949
   4.1000   11.654
   4.2000    8.677
   4.3000    9.542
   4.4000   11.615
   4.5000    9.376
   4.6000   12.394
   4.7000    8.996
   4.8000    7.865
   4.9000   10.544
   5.0000    8.652
