   3.000   1.000   1.000   22.02
   1.000   1.000   1.000   19.73
   1.000   1.000   1.000   18.59
   1.000   1.000   1.000   20.85
   3.000   1.000   1.000   22.56
   3.000   1.000   1.000   25.24
   6.000   1.000   1.000   16.28
   4.000   1.000   1.000   23.04
   4.000   1.000   1.000   20.29
   1.000   1.000   1.000   22.54
   5.000   1.000   1.000   29.09
   4.000   1.000   1.000   24.83
   2.000   1.000   1.000   21.89
   5.000   1.000   1.000   17.65
   1.000   1.000   1.000   15.78
   3.000   1.000   1.000   25.23
   3.000   1.000   1.000   24.10
   1.000   1.000   1.000   25.85
   1.000   1.000   1.000   23.53
   4.000   1.000   1.000   25.78
   3.000   1.000   1.000   20.36
   2.000   1.000   1.000   22.68
   3.000   1.000   1.000   23.46
   1.000   1.000   1.000   24.84
   3.000   1.000   1.000   19.25
   1.000   1.000   1.000   26.89
   1.000   1.000   1.000   27.55
   4.000   1.000   1.000   23.52
   3.000   1.000   1.000   20.70
   2.000   1.000   1.000   23.48
   4.000   1.000   1.000   15.85
   7.000   0.000   1.000   22.92
   2.000   1.000   1.000   20.37
   5.000   1.000   1.000   20.56
   1.000   1.000   1.000   18.44
   2.000   1.000   1.000   19.94
   2.000   1.000   1.000   23.28
   1.000   1.000   1.000   23.33
   3.000   1.000   1.000   19.18
   2.000   1.000   1.000   26.00
   1.000   1.000   2.000   18.72
   1.000   1.000   2.000   24.74
   1.000   1.000   2.000   20.40
   7.000   0.000   2.000   23.86
   3.000   1.000   2.000   23.70
   1.000   1.000   2.000   18.36
   3.000   1.000   2.000   18.83
   1.000   1.000   2.000   24.32
   1.000   1.000   2.000   23.19
   1.000   1.000   2.000   27.49
   3.000   1.000   2.000   21.51
   2.000   1.000   2.000   21.95
   7.000   0.000   2.000   26.46
   1.000   1.000   2.000   23.56
   7.000   0.000   2.000   21.49
   1.000   1.000   2.000   18.04
   2.000   1.000   2.000   22.02
   7.000   0.000   2.000   21.91
   3.000   1.000   2.000   23.55
   1.000   1.000   2.000   21.49
   3.000   1.000   2.000   22.46
   1.000   1.000   2.000   27.23
   7.000   0.000   2.000   19.96
   2.000   1.000   2.000   25.41
   1.000   1.000   2.000   21.02
   3.000   1.000   2.000   19.59
   5.000   1.000   2.000   22.23
   1.000   1.000   2.000   21.05
   6.000   1.000   2.000   28.21
   5.000   1.000   2.000   27.03
   3.000   1.000   2.000   28.87
   2.000   1.000   2.000   20.18
   7.000   0.000   2.000   21.51
   7.000   0.000   2.000   23.02
   3.000   1.000   2.000   28.25
   1.000   1.000   2.000   22.45
   2.000   1.000   2.000   21.56
   6.000   1.000   2.000   24.30
   4.000   1.000   2.000   25.75
   7.000   0.000   2.000   24.14
