  0.9203    1.000
  1.6807    2.000
  1.8882    3.000
  2.2488    4.000
  2.5111    5.000
  2.5806    6.000
  3.2095    7.000
  2.8054    8.000
  2.3489    9.000
  2.7325   10.000
  2.4290   11.000
  2.1127   12.000
  2.1040   13.000
  1.9566   14.000
  1.8949   15.000
  1.9328   16.000
  1.7807   17.000
  1.2776   18.000
  1.6062   19.000
  1.3115   20.000
  1.5343   21.000
  1.0545   22.000
  1.1082   23.000
  1.1527   24.000
  1.0749   25.000
  0.7545   26.000
  0.8530   27.000
  0.9159   28.000
  0.8672   29.000
  0.8883   30.000
