   20.000   1.000   1.000   1.000   1.000   1.000
   13.000   1.000   2.000   1.000   1.000   1.000
    8.000   1.000   1.000   2.000   1.000   1.000
    6.000   1.000   2.000   2.000   1.000   1.000
   34.000   2.000   1.000   1.000   1.000   1.000
   31.000   2.000   2.000   1.000   1.000   1.000
   17.000   2.000   1.000   2.000   1.000   1.000
   12.000   2.000   2.000   2.000   1.000   1.000
    8.000   1.000   1.000   1.000   2.000   1.000
    8.000   1.000   2.000   1.000   2.000   1.000
    4.000   1.000   1.000   2.000   2.000   1.000
    0.000   1.000   2.000   2.000   2.000   1.000
   69.000   2.000   1.000   1.000   2.000   1.000
   55.000   2.000   2.000   1.000   2.000   1.000
   60.000   2.000   1.000   2.000   2.000   1.000
   21.000   2.000   2.000   2.000   2.000   1.000
    4.000   1.000   1.000   1.000   3.000   1.000
   12.000   1.000   2.000   1.000   3.000   1.000
    5.000   1.000   1.000   2.000   3.000   1.000
    1.000   1.000   2.000   2.000   3.000   1.000
   18.000   2.000   1.000   1.000   3.000   1.000
   13.000   2.000   2.000   1.000   3.000   1.000
    8.000   2.000   1.000   2.000   3.000   1.000
    4.000   2.000   2.000   2.000   3.000   1.000
    2.000   1.000   1.000   1.000   1.000   2.000
    0.000   1.000   2.000   1.000   1.000   2.000
    3.000   1.000   1.000   2.000   1.000   2.000
    0.000   1.000   2.000   2.000   1.000   2.000
   11.000   2.000   1.000   1.000   1.000   2.000
    5.000   2.000   2.000   1.000   1.000   2.000
   15.000   2.000   1.000   2.000   1.000   2.000
    1.000   2.000   2.000   2.000   1.000   2.000
    1.000   1.000   1.000   1.000   2.000   2.000
    0.000   1.000   2.000   1.000   2.000   2.000
    1.000   1.000   1.000   2.000   2.000   2.000
    0.000   1.000   2.000   2.000   2.000   2.000
   20.000   2.000   1.000   1.000   2.000   2.000
    4.000   2.000   2.000   1.000   2.000   2.000
   32.000   2.000   1.000   2.000   2.000   2.000
    5.000   2.000   2.000   2.000   2.000   2.000
    4.000   1.000   1.000   1.000   3.000   2.000
    0.000   1.000   2.000   1.000   3.000   2.000
    3.000   1.000   1.000   2.000   3.000   2.000
    1.000   1.000   2.000   2.000   3.000   2.000
   10.000   2.000   1.000   1.000   3.000   2.000
    3.000   2.000   2.000   1.000   3.000   2.000
    8.000   2.000   1.000   2.000   3.000   2.000
    4.000   2.000   2.000   2.000   3.000   2.000
