    10.090    2.5171
    19.599    1.5174
    13.736    3.1006
    5.8367    3.7075
    6.4321    3.9480
    4.0263    4.3872
    7.1138    2.9645
    6.6042    4.5763
    3.6619    4.6235
    2.0629    6.3994
    5.4419    5.9653
    3.7685    5.6077
    2.5211    5.7590
    1.7669    8.8868
    2.0403    8.5471
    2.1701    8.3114
    2.0793    12.314
    0.4564    25.123
    0.6726    24.702
    0.6793    20.571
    0.3322    30.414
    1.1484    17.443
    0.4217    23.013
    0.2041    48.928
    0.2977    24.336
    0.1353    60.335
    0.1078    68.337
    0.0761    72.938
    0.3522    40.274
    0.1573    59.252
