    0.0000    165.00    1.5700
    0.0000    41.000    0.2000
    0.0000    33.000    0.2000
    0.0000    141.00    0.9100
    0.0000    150.00    2.3600
    0.0000    21.000    0.2000
    0.0000    35.000    0.2000
    0.0000    57.000    0.6600
    0.0000    108.00    1.5700
    1.0000    38.000    0.6600
    1.0000    41.000    0.4400
    0.0000    37.000    0.2000
    0.0000    86.000    0.6600
    0.0000    32.000    0.2500
    1.0000    45.000    0.5500
    0.0000    26.000    0.2000
    0.0000    143.00    1.5700
    0.0000    39.000    0.2500
    1.0000    20.000    0.2000
    0.0000    50.000    0.4400
    0.0000    29.000    0.1000
    1.0000    75.000    1.1800
    0.0000    60.000    0.2000
    1.0000    47.000    0.2000
    0.0000    10.000    0.0500
    0.0000    81.000    0.5500
    1.0000    16.000    0.2900
    0.0000    133.00    0.8800
    0.0000    54.000    0.2500
    0.0000    57.000    0.0400
    0.0000    17.000    0.2000
    1.0000    20.000    0.5500
    0.0000    77.000    0.1500
    0.0000    20.000    0.1000
    0.0000    41.000    0.2000
    1.0000    32.000    0.3000
    0.0000    63.000    0.6600
    1.0000    9.0000    0.2000
    0.0000    7.0000    0.0200
    1.0000    46.000    0.5500
    1.0000    15.000    0.2500
    0.0000    24.000    0.1500
    0.0000    12.000    0.0100
    0.0000    18.000    0.1500
    1.0000    35.000    0.2500
    1.0000    29.000    0.3900
    0.0000    21.000    0.2500
    1.0000    12.000    0.2500
    0.0000    45.000    0.2000
    0.0000    21.000    0.2500
    0.0000    59.000    0.4400
    1.0000    35.000    0.9800
    1.0000    60.000    0.6600
    1.0000    35.000    0.4400
    1.0000    59.000    0.6600
    1.0000    16.000    0.1500
    1.0000    65.000    1.5700
    1.0000    25.000    0.4400
    1.0000    89.000    1.9700
