      3.0000    7.0000    14.000    1.0000
      5.0000    10.000    22.000    1.0000
      11.000    9.0000    21.000    1.0000
      12.000    8.0000    17.000    1.0000
      22.000    6.0000    10.000    1.0000
      57.000    5.0000    11.000    1.0000
      2.0000    3.0000    10.000    2.0000
      7.0000    2.0000    5.0000    2.0000
      17.000    15.000    31.000    2.0000
      23.000    17.000    20.000    2.0000
      29.000    9.0000    11.000    2.0000
      33.000    20.000    22.000    2.0000
      4.0000    8.0000    17.000    3.0000
      7.0000    10.000    22.000    3.0000
      7.0000    7.0000    15.000    3.0000
      10.000    6.0000    9.0000    3.0000
      12.000    22.000    43.000    3.0000
      14.000    5.0000    11.000    3.0000
